"Id","baseMean","log2foldchange.LLO.vs.Neg","BH.adjusted.p.values","LLO1_raw","LLO2_raw","LLO3_raw","Neg1_raw","Neg2_raw","Neg3_raw","LLO1_norm","LLO2_norm","LLO3_norm","Neg1_norm","Neg2_norm","Neg3_norm"
"10819","ENSG00000104899",340.843850405848,1.15811806056667,1.1166715420082e-06,256,267,218,643,548,664,246.965398427352,247.339488866569,224.024932461027,703.052342210909,606.488620090673,571.687821606735
"10824","ENSG00000175564",339.752910118161,2.01444510527243,5.24633445607564e-18,37771,38830,28501,7874,7277,7399,36438.008062498,35970.7578752392,29288.6908260172,8609.38435858273,8053.68191313837,6370.35872299433
"10881","ENSG00000181016",334.562818153434,2.8365319939549,2.11146570269719e-06,81,105,80,150,203,240,78.1413955961542,97.2683383183136,82.2109843893678,164.009100049201,224.666404887603,206.634152387977
"10916","ENSG00000273419",317.575853499344,1.04531751677528,4.76388004993103e-06,40,33,23,64,61,71,38.5883435042737,30.5700491857557,23.6356580119432,69.9772160209925,67.510594572137,61.1292700814431
"11153","ENSG00000222009",315.861137596841,1.49917324771464,2.11219223403865e-08,3941,3708,6311,1055,1071,1289,3801.91654375856,3434.96189032673,6485.41903101625,1153.53067034605,1185.30896371736,1109.79759345042
"11351","ENSG00000187566",301.739987910265,-1.14883124879429,4.88826610919856e-07,22538,23555,16641,6502,6825,8426,21742.602147483,21820.5305627417,17100.9123902934,7109.24779013271,7553.43947466942,7254.58070008787
"11470","ENSG00000105708",294.632673754396,-1.35405743006715,3.02861546307324e-08,3463,3175,2834,420,379,499,3340.78583888249,2941.20927772044,2912.32412199336,459.225480137763,419.451071194097,429.626841840001
"11482","ENSG00000260257",291.232506655669,1.19499249487245,2.36431531607636e-07,1232,1531,1054,44,83,64,1188.52097993163,1418.2650091937,1083.12971932992,48.1093360144323,91.8586778604487,55.1024406367937
"11559","ENSG00000185614",287.42373927873,-1.33746444327714,3.03166873100213e-09,115,135,121,54,48,75,110.941487574787,125.059292123546,124.344113888919,59.0432760177124,53.1230908108619,64.5731726212427
"11602","ENSG00000256576",283.492518808119,-1.0780873448241,3.23878443508556e-05,6113,7170,6371,1789,2740,3656,5897.26359604063,6642.03795945056,6547.07726930828,1956.08186658681,3032.44310045337,3147.72692137684
"11695","ENSG00000279696",281.548267685901,1.77920780308227,1.7348957171649e-10,24,31,28,0,6,2,23.1530061025642,28.7173189320736,28.7738445362787,0,6.64038635135774,1.7219512698998
"11781","ENSG00000135407",277.512435002923,1.35210929506606,3.27800717078985e-06,3414,2940,2393,6545,4739,5982,3293.51511808976,2723.51347291278,2459.13607054697,7156.26373214681,5244.79848651405,5150.35624827031
"11807","ENSG00000175536",277.48512113052,-1.38198625151796,1.8044871112381e-10,691,657,527,1419,1015,1204,666.613634036328,608.621888334591,541.564859664961,1551.52608646544,1123.33202443802,1036.61466447968
"11987","ENSG00000116741",273.609752215271,2.38478032693478,2.74182698263498e-22,376,315,382,142,117,184,362.730428940173,291.805014954941,392.557450459231,155.261948046577,129.487533851476,158.419516830782
"12032","ENSG00000258441",265.874927420393,4.31430428810422,7.61447829138538e-41,2316,2009,1533,4033,3601,3703,2234.26508889745,1861.06753982373,1575.36798836126,4409.65800332285,3985.3385418732,3188.19277621949
"12188","ENSG00000166963",248.37698218053,1.2379678568556,3.68436308677277e-07,77,62,115,39,38,36,74.2825612457268,57.4346378641471,118.178290059716,42.6423660127923,42.0557802252657,30.9951228581965
